id,tweet,favourites,retweets,followers,is_covid
1311935785839583232,"For winter we need to monitor other respiratory diseases, especially #influenza.

We need a proper protocol to get the data in the system – to set capable monitoring of #COVID19 and #flu. It is important to have it uniform in all MS to have informed political decisions.
#EHFG2020 https://t.co/AX4ok08QY4",7,5,105552,True
1297671048805089285,"RT @WHOThailand: To stop the spread of #COVID19, we all need to play our part https://t.co/Wip52IyH3N",0,128,12269132,True
1319282591455866883,"RT @DrTedros: What a very thoughtful message from @BTS_twt Jimin - 감사합니다! 

Children are indeed affected by #COVID19 restrictions, we shoul…",0,26236,12269132,True
1258131420309946368,#Parents: Be prepared to discuss #COVID19 with your children. Watch this new video for tips on how to support your children during the COVID-19 outbreak. https://t.co/GKZV8vbeel https://t.co/fHmcB7nInb,317,236,5554475,True
1275820904191332352,"What do @shakira, @coldplay, @QueensChristine and @IAMJHUD have in common?

They will all participate in the #GlobalGoalUnite​ Concert on Saturday – an event we co-host with @glblctzn to fight for equal access to #coronavirus healthcare.

More info → https://t.co/GQNTAZss3L https://t.co/wOq8leA4Sn",107,48,1822576,True
1301230299460907009,"🆕 guideline on use of dexamethasone &amp; other corticosteroids advises:
✅ for oral or intravenous usage in treatment of patients with severe &amp; critical #COVID19
❌ against usage in treatment of non-severe cases

More: https://t.co/eWHzRrYKvO",674,369,12269132,True
1276900307088429057,"Thank you @s_sommaruga for taking part in our #GlobalGoalUnite summit!

Together, we fight for equal access to  life-saving #coronavirus resources for everyone, everywhere 🇪🇺 🇨🇭

https://t.co/p4GxIpHflv",38,11,1822572,True
1334438087817109504,"RT @vonderleyen: Today’s videoconference on the coronavirus response focused on:

🔹Epidemiological situation in Europe
🔹Update on the autho…",0,65,105552,True
1246110996810301440,"""There are 3 main areas for countries to focus on.

1⃣we call on all countries to ensure core public health measures are fully funded, including case-finding, testing, contact tracing, collecting data, and communication and information campaigns""-@DrTedros #COVID19 #coronavirus",344,241,12269132,True
1260979185431928837,"If someone in your home gets sick with #COVID19, do you know how to protect yourself and others? This video offers special cleaning advice: https://t.co/q1dtcXD8TN. https://t.co/0Lr4HSp2OQ",825,646,5554475,True
1294220699079516161,"The #coronavirus outbreak has been accompanied by wave of misleading and harmful conspiracy theories.

We're teaming up with @UNESCO to help the public identify and counter them.

Together, we can stop the spread of conspiracy theories online.

#ThinkBeforeSharing #FactsMatter",392,205,1822572,True
1292776151446888449,"""This sounds like lot of money and it is.

But it’s small in comparison to the 10 trillion dollars that have already been invested by @g20org countries in fiscal stimulus to deal with the consequences of the #COVID19 pandemic so far""-@DrTedros 

https://t.co/ChJzYltMXA",37,17,12269134,True
1265685748226850818,"RT @10DowningStreet: WATCH LIVE: #coronavirus press conference (27 May 2020)
 
Speakers:
 
🔵 @MattHancock, @DHSCgovuk Secretary 
🔵 Prof Jon…",0,107,691759,True
1285344798380040193,".@LinkedIn isn’t only for finding jobs!

Follow WHO and you’ll get the latest updates from the public health world &amp; how to stay safe in a workplace: https://t.co/hd2SurbCgv

For news on #COVID19, check also the LinkedIn editorial page: https://t.co/Y9iuVTg5MJ",120,40,12269134,True
1319663608100392960,Media briefing on #COVID19 with @DrTedros https://t.co/9eTsEnYK72,668,260,12269134,True
1252156298747092992,"Watch: How to get support from your GP during the #coronavirus outbreak. 

Watch for full details 🔽 

❌ Do not visit your GP practice, or leave home at all, if you have symptoms of coronavirus https://t.co/5GqoT58J9c",90,121,691759,True
1254750366094295041,RT @WHOSEARO: #PhysicalDistancing helps limit the spread of #COVID19 – this means we keep a distance of at least 1m from each other and avo…,0,70,12269134,True
1322224192582987777,"For more information on caring for someone sick at home, visit: https://t.co/q1dtcXUKin. #COVID19",39,15,5554477,True
1341424900066709510,"#JustPublished:
#COVID19 vaccination and prioritisation strategies in the EU/EEA.

By using mathematical modelling, this document provides EU/EEA countries with information on factors that may affect the choice of COVID-19 #vaccination.

Read full: https://t.co/Fh0qiE1At6 https://t.co/qCmhDLdFN7",40,34,105552,True
1247101745844482051,"Only leave your home for essentials such as food or medicine, for work, or to exercise.

When you do, you MUST #KeepYourDistance from others. 

🚶🏼‍♂️ ⬅️[2 metres]➡️ 🚶🏾‍♀️

#COVID19 https://t.co/nwwDXCjP5k",199,184,691759,True
1255815661424717824,"We've recently expanded access to #coronavirus tests. 

There is currently high availability of tests today in:
➡️ Bournemouth
➡️ Exeter
➡️ Hull
➡️ Penrith
➡️ Peterborough
➡️ Aberdeen
➡️ Edinburgh
➡️ Inverness

Find out more and book a test: https://t.co/jZcQqKISec",68,68,691759,True
1277351076577062912,"New tips released for institutes of higher education to help you prepare when students, faculty, staff or administrators get sick with #COVID19. Close off areas used by a sick person for cleaning &amp; disinfection and notify local health officials. More here: https://t.co/aT0symUkHX https://t.co/AolkjnK7VX",27,16,1958449,True
1263179944408088576,"Meet CDC Health Communication Specialist Jill Brown, who was part of the first wave of CDC responders helping screen passengers arriving at San Francisco International Airport for #COVID19. Read more about her experience: https://t.co/gWuVU41Tp5. https://t.co/XLk4EoevwO",114,47,5554477,True
1278963431283077126,"#JustPublished
Use of gloves in healthcare and non-healthcare settings in the context of the #COVID19 pandemic.

1. There is insufficient evidence to recommend the use of gloves to the public (and out of healthcare).

Read it here: https://t.co/0lnRGMptKp https://t.co/7snf0WSfcZ",68,57,105552,True
1306871475450925056,"Only get a test if you have #covid symptoms. If you don’t have symptoms, don’t get a test.

This will help make sure people who need a test can get one.

We all need to play our part to protect the #NHS Test and Trace service for those who really need it: https://t.co/fEwrbfOYs7 https://t.co/KxAbbcJ5Kv",44,65,512867,True
1328368407717294087,"RT @BBCBreakfast: A major trial of a vaccine to protect against Covid-19 has launched in the UK.
Head of Immunisation at Public Health Engl…",0,13,512866,True
1317125987830726662,"""In June, we announced that we were discontinuing the hydroxychloroquine arm of the study, and in July we announced that we would no longer enrol patients to receive the combination of lopinavir and ritonavir""-
@DrTedros #COVID19",44,22,12269134,True
1323565587436634112,"Join us this Thursday as our experts answer your questions on #COVID19. 

If you have a question beforehand, let us know in the comments below 👇, or using the hashtag #WHOEuropeAnswers.

📅🕕 5 November 2020, 18:00 CET (17:00 GMT). https://t.co/tNF7IupHsF",10,4,206117,True
1354460990373433345,Live Q&amp;A on #COVID19 virus variants with @DrMikeRyan and Dr @mvankerkhove. #AskWHO https://t.co/SOnDoV2FZY,302,133,12269124,True
1337067047226847240,"Help #FightFlu this season! Your #fluvaccine protects you and can also help protect essential workers and save medical resources for the care of COVID-19 patients. 

Learn more: https://t.co/aB80rv5iaj. https://t.co/mh0PQ1pbkB",119,53,5554477,True
1357274199904108548,"NEW BLOG: Tackling London’s ongoing #COVID19 health inequalities.

Our #London Regional Director, Kevin Fenton, reflects on health inequalities in the capital and what's being done to address them.

Read it here: https://t.co/ALNBVdw5UK

@PHE_London",23,24,512867,True
1248917657333706763,"Working from home with your children around?
Your kids are bored and want to play outside but they can't?

NOT EASY for any of us!

More parenting tips during #COVID19 👉🏼 https://t.co/lD4ejgTkVU 

#coronavirus

https://t.co/RkmcmQ8gkj",2635,959,12269136,True
1298608137931497472,RT @CDCEnvironment: People who are recovering from #COVID19 might be at a higher risk of getting sick from #wildfire smoke. Know what to do…,0,65,5554477,True
1282682314800103427,"""Several countries in the Mekong region, the Pacific, the Caribbean and Africa fit into that category. 

Leaders of those countries took command of the emergency and communicated effectively with their populations about the measures that had to be taken""-@DrTedros #COVID19",107,40,12269136,True
1272964480855670784,"RT @DHSCgovuk: Anyone can catch it. Anyone can spread it

For more information on reducing the risk of #coronavirus, visit https://t.co/oIF…",0,154,691759,True
1359433775688658944,"RT @NHSEngland: Lights, camera, vaccine! 🎬
 
Thanks @eltonofficial and @themichaelcaine for encouraging people to get the #COVIDVaccine. (S…",0,4795,512867,True
1321527502066647041,"#COVID19 affects us all. No one is free from risk.

Although most people recover without treatment, some people can experience 'Long COVID' for weeks or even months. 

If you're suffering from long-term symptoms, speak to your GP or visit: https://t.co/ph8fcJNOv9 https://t.co/zIMZg0qnKv",23,20,512867,True
1296837233887137792,"#Parents of children ages 0-2 years: Have you missed any well-child visits because of #COVID19? 

On Monday, August 24, ask any questions you may have about essential childhood vaccines during our Instagram Q&amp;A from 12-2pm ET. https://t.co/oT0KTQutqa",79,44,5554477,True
1311977078452035585,We have published our weekly #COVID-19 surveillance report. Read it here: https://t.co/cZ6VFf220F https://t.co/GtZUjI75di,33,41,512867,True
1348677655210545153,Media briefing on #COVID19 with @DrTedros https://t.co/kB1H2PFR70,849,286,12269136,True
